# add
adrenalin,adrenaline
alt,alternative
analyse,analyze
apps,app
armour,armor
audiobooks,audiobook
autobots,autobot
babysat,babysit
babysitted,babysit
babysitting,babysit
babysits,babysit
barbecue,bbq
barbeque,bbq
barbies,barbie
battlefields,battlefield
bball,basketball
bbqing,bbq
bbqs,bbq
bday,birthday
beatboxed,beatbox
beatboxing,beatbox
beatle,beatles
behaviour,behavior
belive,believe
bf,boyfriend
bffs,bff
bfs,boyfriend
bikers,biker
bios,bio
bitcoins,bitcoin
blacksmithing,blacksmith
bladed,blade
blading,blade
blogged,blog
blogging,blog
blond,blonde
bobbleheads,bobblehead
boot,boots
bore,bored
brazillian,brazilian
caffiene,caffeine
caffine,caffeine
cal,california
cali,california
carbs,carb
catalogue,catalog
cd,compactdisc
celeb,celebrity
celebs,celebrity
centre,center
champ,champion
chilies,chili
chilli,chili
chillin,chill
cig,cigarette
cigaret,cigarette
cigg,cigarette
ciggs,cigarette
cigs,cigarette
cinematics,cinematic
clenched,clench
clenches,clench
clenching,clench
cocoanut,coconut
coladas,colada
colour,color
colourful,colorful
colourist,colorist
colourists,colorist
conceited,conceit
config,configuration
configs,configuration
congrats,congratulations
conservatories,conservatory
convo,conversation
convos,conversation
cookin,cook
couponing,coupon
customise,customize
cutscenes,cutscene
deathmatches,deathmatch
decepticons,decepticon
dept,department
diapered,diaper
diapering,diaper
diys,diy
dj,discjockey
doggie,doggy
dom,dominant
dostoevsky,dostoyevsky
dr,doctor
empathise,empathize
endeavour,endeavor
enfjs,enfj
enfps,enfp
enthral,enthrall
entjs,entj
entps,entp
esfjs,esfj
esfps,esfp
estjs,estj
estps,estp
ex,exx
extravert,extrovert
extraverted,extrovert
extroverted,extrovert
fam,family
famed,fame
fantasise,fantasize
fascists,fascist
faves,favorite
fave,favorite
favorit,favorite
favorited,favorite
favoriting,favorite
favortie,favorite
favour,favor
favourite,favorite
favourited,favorite
favouriting,favorite
favs,favorite
fell,fall
felt,feel
fibre,fiber
fibres,fiber
fla,florida
flavour,flavor
freestylers,freestyler
frostings,frosting
fuckin,fuck
gamers,gamer
genital,genitals
genitalia,genitals
gf,girlfriend
gfs,girlfriend
glamor,glamour
glitched,glitch
glitching,glitch
govt,government
gradate,graduate
gradates,graduate
grad,graduate
grammys,grammy
grandkids,grandkid
graveyards,graveyard
gutted,gut
gutting,gut
gymnastic,gymnastics
hairbands,hairband
haired,hair
hairstyling,hairstyle
hangin,hang
happyness,happiness
harbour,harbor
harleys,harley
hashtags,hashtag
headphone,headphones
hearted,heart
hippies,hippie
hippy,hippie
homies,homie
honour,honor
hoodies,hoodie
howlin,howl
humour,humor
hwy,highway
impersonators,impersonator
indoor,indoors
infjs,infj
infps,infp
instal,install
installers,installer
instrumentalists,instrumentalist
instrumentals,instrumental
interweb,interwebs
interwebz,interwebs
intjs,intj
intps,intp
ipads,ipad
ipas,ipa
iphones,iphone
isfjs,isfj
isfps,isfp
istjs,istj
istps,istp
jewellery,jewelry
judgement,judgment
judgements,judgment
judgemental,judgmental
juiced,juice
juicing,juice
karting,kart
karts,kart
kettlebells,kettlebell
kiddos,kiddo
killstreaks,killstreak
kilometre,kilometer
labour,labor
leaderboards,leaderboard
lgbtq,lgbt
liabilities,liability
licence,license
lightsabers,lightsaber
liquify,liquefy
litre,liter
livestreamed,livestream
livestreaming,livestream
livestreams,livestream
livin,live
lookin,look
lucked,luck
lustre,luster
lvl,level
lvls,level
lyric,lyrics
macguyver,macgyver
mag,magazine
mages,mage
mags,magazine
mannered,manner
mashups,mashup
math,mathematics
meetups,meetup
megapixels,megapixel
men,man
mesmerised,mesmerize
metre,meter
mex,mexican
mgmt,management
mic,microphone
mics,microphone
midfielders,midfielder
minifigures,minifigure
minored,minor
minoring,minor
mixtapes,mixtape
mmorpgs,mmorpg
mmos,mmo
mocs,moc
modded,mod
modding,mod
mollusc,mollusk
motorsports,motorsport
mould,mold
moustache,mustache
mtn,mountain
muddin,mud
muddled,muddle
muddles,muddle
muddling,muddle
neandertal,neanderthal
negated,negate
negates,negate
negating,negate
neighbour,neighbor
neighbourhood,neighborhood
networkers,networker
nonjudgemental,nonjudgmental
odour,odor
offence,offense
olympians,olympian
olympic,olympics
organisation,organization
organise,organize
otters,otter
ox,oxen
outdoor,outdoors
parlour,parlor
parm,parmigiana
pc,computer
penn,pennsylvania
penpals,penpal
personalise,personalize
philly,philadelphia
philosophise,philosophize
photobombed,photobomb
photobombing,photobomb
photobombs,photobomb
photoshoots,photoshoot
photoshopped,photoshop
photoshopping,photoshop
playdough,playdoh
playthroughs,playthrough
plushies,plushie
podcasters,podcaster
pooped,poop
pooping,poop
poops,poop
practise,practice
premiere,premier
prepped,prep
preppers,prepper
prepping,prep
prof,professor
prog,progressive
programme,program
promos,promo
quading,quad
quickscoping,quickscope
quijote,quixote
racquet,racket
racquets,racket
rallye,rally
randoms,random
realise,realize
rec,recreation
recognise,recognize
redistributed,redistribute
redistributing,redistribute
ref,referee
refueled,refuel
refueling,refuel
refuels,refuel
regionals,regional
rehab,rehabilitation
rehabbed,rehabilitation
rehabbing,rehabilitation
rehabs,rehabilitation
remixed,remix
remixes,remix
remixing,remix
ren,renaissance
rep,representative
reposted,repost
reposting,repost
reposts,repost
reptoids,reptoid
repurposed,repurpose
repurposing,repurpose
respawns,respawn
ringtones,ringtone
rn,nurse
roadtripping,roadtrip
roadtrips,roadtrip
robotic,robotics
romanticise,romanticize
rpgs,rpg
rumour,rumor
sandal,sandals
saviour,savior
savour,savor
saw,see
scrapbooked,scrapbook
scrapbooking,scrapbook
screenshots,screenshot
selfies,selfie
senders,sender
separatists,separatist
shakin,shake
shaquille,shaq
shepard,shepherd
shepards,shepherd
sheppard,shepherd
sheppards,shepherd
shoe,shoes
showcased,showcase
showcases,showcase
showcasing,showcase
sidearms,sidearm
sitcoms,sitcom
skilled,skill
skillz,skill
skydove,skydive
smartphones,smartphone
smartwatches,smartwatch
smokin,smoke
smoothy,smoothie
sneaker,sneakers
socialise,socialize
sock,socks
soulmates,soulmate
spagetti,spaghetti
spammed,spam
spamming,spam
specialise,specialize
spectre,specter
spicey,spicy
splashin,splash
splendour,splendor
sponsorships,sponsorship
sport,sports
starbuck,starbucks
stat,stats
statistic,statistics
stylin,style
summarise,summarize
superheroes,superhero
superheros,superhero
superhumans,superhuman
sympathise,sympathize
synths,synth
talented,talent
tapa,tapas
tat,tattoo
tatoo,tattoo
tatoos,tattoos
tatt,tattoo
tbsp,tablespoon
tch,bitch
tech,technology
texted,text
texting,text
textured,texture
texturing,texture
theatre,theater
theif,thief
thinkin,think
thrifting,thrift
toilette,toilet
tonne,ton
tooth,teeth
toppled,topple
topples,topple
toppling,topple
travelogue,travelog
trekkies,trekkie
triathlons,triathlon
tsp,teaspoon
tv,television
twerked,twerk
twerking,twerk
twerks,twerk
tyre,tire
utilise,utilize
vapour,vapor
videogames,videogame
videographers,videographer
